Line Name,End 1 Bus Name,End 2 Bus Name,In Service,Resistance (pu),Reactance (pu),Susceptance (pu),Actual Capacity (MW),Maximum Angle Limit (degree),B,Nature of Line,,,,Thermal Limit (MVA),Angle Limit,Anlge Limiting,Thermal Limit,,,,,,,,
L120,N_2209,N_2222,1,0.004629187,0.035291818,0.433126857,1000,35,-28.33517961,AC,,2,2,1000,1483.626535, ,1000,1,,,,,,,
L121,N_2209,N_2222,1,0.004768062,0.036350572,0.446120662,1000,35,-27.50988311,AC,,2,2,1000,1440.414111, ,1000,1,,,,,,,
L122,N_2210,N_2211,1,0.002452025,0.018693658,0.225659159,1000,35,-53.49407752,AC,,2,2,1000,2800.943349, ,1000,1,,,,,,,
L123,N_2211,N_2219,1,0.005354666,0.0408227,0.501005861,1000,35,-24.49617506,AC,,2,2,1000,1282.616727, ,1000,1,,,,,,,
L124,N_2219,N_2225,1,0.001700997,0.012967996,0.159152675,1000,35,-77.11291862,AC,,2,2,1000,4037.622977, ,1000,1,,,,,,,
L125,N_2222,N_2224,1,0.002846739,0.02170286,0.266353279,1000,35,-46.07687699,AC,,2,2,1000,2412.579637, ,1000,1,,,,,,,
L126,N_2222,N_2225,1,0.002873509,0.021906952,0.268858043,1000,35,-45.64761065,AC,,2,2,1000,2390.103304, ,1000,1,,,,,,,
L127,N_2225,N_2231,1,0.001967917,0.019320111,0.282758599,1000,35,-51.75953603,AC,,2,2,1000,2710.122969, ,1000,1,,,,,,,
L128,N_2225,N_2224,1,0.000307987,0.003023677,0.044252881,1000,35,-330.7231879,AC,,2,2,1000,17316.62562, ,1000,1,,,,,,,
L129,N_2224,N_2255,1,0.001395359,0.013698995,0.200491006,1000,35,-72.99805722,AC,,2,2,1000,3822.169338, ,1000,1,,,,,,,
L130,N_2255,N_2227,1,0.000503134,0.00493954,0.072292405,1000,35,-202.4480154,AC,,2,2,1000,10600.1533, ,1000,1,,,,,,,
L131,N_2231,N_2227,1,0.000684669,0.006721764,0.098376062,1000,35,-148.7704792,AC,,2,2,1000,7789.604078, ,1000,1,,,,,,,
L132,N_2231,N_2238,1,0.000398332,0.003394652,2.470227615,1000,35,-294.5809837,AC,,2,2,1000,15424.22424, ,1000,1,,,,,,,
L133,N_2231,N_2260,1,0.000347658,0.004598942,3.334725337,1000,35,-217.4413391,AC,,2,2,1000,11385.20189, ,1000,1,,,,,,,
L134,N_2231,N_2239,1,0.00052393,0.005143702,0.075280415,1000,35,-194.4125031,AC,,2,2,1000,10179.41486, ,1000,1,,,,,,,
L135,N_2237,N_2239,1,0.000473187,0.004645529,0.067989432,1000,35,-215.2607177,AC,,2,2,1000,11271.02482, ,1000,1,,,,,,,
L136,N_2237,N_2250,1,0.000287521,0.002822753,0.041312268,1000,35,-354.2641137,AC,,2,2,1000,18549.22562, ,1000,1,,,,,,,
L137,N_2237,N_2250,1,0.000261383,0.002566139,0.037556607,1000,35,-389.6905251,AC,,2,2,1000,20404.14818, ,1000,1,,,,,,,
L138,N_2250,N_2251,1,0.000204418,0.002704117,1.960774533,1000,35,-369.8064874,AC,,2,2,1000,19363.0224, ,1000,1,,,,,,,
L139,N_2250,N_2251,1,0.000204418,0.002704117,1.960774533,1000,35,-369.8064874,AC,,2,2,1000,19363.0224, ,1000,1,,,,,,,
L140,N_2252,N_2231,1,0.004044287,0.039704965,0.581100181,1000,35,-25.18576724,AC,,2,2,1000,1318.723689, ,1000,1,,,,,,,
L141,N_2252,N_2233,1,0.003497182,0.034333738,0.502489844,1000,35,-29.12587007,AC,,2,2,1000,1525.026991, ,1000,1,,,,,,,
L142,N_2233,N_2231,1,0.000591701,0.005809052,0.085018111,1000,35,-172.1451319,AC,,2,2,1000,9013.49803, ,1000,1,,,,,,,
L143,N_2243,N_2242,1,0.000632919,0.006213713,0.090940511,1000,35,-160.9343708,AC,,2,2,1000,8426.503951, ,1000,1,,,,,,,
L144,N_2243,N_2242,1,0.000632919,0.006213713,0.090940511,1000,35,-160.9343708,AC,,2,2,1000,8426.503951, ,1000,1,,,,,,,
L145,N_2243,N_2227,1,0.001416233,0.013903928,0.2034903,1000,35,-71.92212049,AC,,2,2,1000,3765.833423, ,1000,1,,,,,,,
L146,N_2236,N_2237,1,0.000587099,0.005763874,0.084356914,1000,35,-173.4944204,AC,,2,2,1000,9084.146607, ,1000,1,,,,,,,
L147,N_2243,N_2237,1,0.001049046,0.010299052,0.1507313,1000,35,-97.09631585,AC,,2,2,1000,5083.95121, ,1000,1,,,,,,,
L148,N_2266,N_2243,1,0.002454781,0.024099924,0.352713322,1000,35,-41.49390731,AC,,2,2,1000,2172.615906, ,1000,1,,,,,,,
L149,N_2262,N_2248,1,0.001155335,0.011342551,0.166003387,1000,35,-88.16358584,AC,,2,2,1000,4616.23456, ,1000,1,,,,,,,
L150,N_2248,N_2243,1,0.001780997,0.017485015,0.255901131,1000,35,-57.19182975,AC,,2,2,1000,2994.557203, ,1000,1,,,,,,,
L151,N_2266,N_2262,1,0.000206382,0.002026162,0.029653802,1000,35,-493.5439255,AC,,2,2,1000,25841.89951, ,1000,1,,,,,,,
L152,N_2170,N_2127,1,0.001101931,0.015035529,1.668365387,2500,35,-66.50913483,AC,,1,1,2500,3482.410156, ,2500,1,,,,,,,
L153,N_2170,N_2127,1,0.001101931,0.015035529,1.668365387,2500,35,-66.50913483,AC,,1,1,2500,3482.410156, ,2500,1,,,,,,,
L154,N_2270,N_2266,1,0.000862556,0.008468185,0.123935731,1000,35,-118.0890591,AC,,2,2,1000,6183.128678, ,1000,1,,,,,,,
L155,N_2274,N_2270,1,0.000605911,0.005948553,0.087059773,1000,35,-168.1081108,AC,,2,2,1000,8802.120098, ,1000,1,,,,,,,
L156,N_2274,N_2270,1,0.000582606,0.005719762,0.08371132,1000,35,-174.8324352,AC,,2,2,1000,9154.204902, ,1000,1,,,,,,,
L157,N_2270,N_2236,1,0.003151225,0.030937294,0.452781341,1000,35,-32.32344745,AC,,2,2,1000,1692.451751, ,1000,1,,,,,,,
L158,N_2274,N_2266,1,0.001015043,0.009965233,0.145845702,1000,35,-100.348887,AC,,2,2,1000,5254.255436, ,1000,1,,,,,,,
L159,N_2286,N_2285,1,0.000176101,0.001728878,0.025302919,1000,35,-578.4097029,AC,,2,2,1000,30285.46122, ,1000,1,,,,,,,
L160,N_2286,N_2285,1,0.000176101,0.001728878,0.025302919,1000,35,-578.4097029,AC,,2,2,1000,30285.46122, ,1000,1,,,,,,,
L161,N_2185,N_2195,1,0.000862656,0.011770694,1.306094301,2500,35,-84.95675877,AC,,1,1,2500,4448.325487, ,2500,1,,,,,,,
L162,N_2185,N_2153,1,0.001725535,0.023544425,2.612525619,2500,35,-42.47289966,AC,,1,1,2500,2223.875826,Swap,2223.875826,0,,,,,,,
L163,N_2195,N_2153,1,0.000863074,0.011776401,1.306727607,2500,35,-84.91558445,AC,,1,1,2500,4446.169605, ,2500,1,,,,,,,
L164,N_2153,N_2116,1,0.001081154,0.014752036,1.636908644,2500,35,-67.78725181,AC,,1,1,2500,3549.332205, ,2500,1,,,,,,,
L165,N_2153,N_2116,1,0.001081154,0.014752036,1.636908644,2500,35,-67.78725181,AC,,1,1,2500,3549.332205, ,2500,1,,,,,,,
L166,N_2253,N_2252,1,0.00023051,0.002263038,0.033120591,1000,35,-441.8838392,AC,,2,2,1000,23136.98372, ,1000,1,,,,,,,
L167,N_2253,N_2252,1,0.00023051,0.002263038,0.033120591,1000,35,-441.8838392,AC,,2,2,1000,23136.98372, ,1000,1,,,,,,,
L168,N_2216,N_2222,1,0.000366893,0.004759417,0.101507063,1000,35,-210.1097459,AC,,2,2,1000,11001.32057, ,1000,1,,,,,,,
L169,N_2216,N_2222,1,0.000366893,0.004759417,0.101507063,1000,35,-210.1097459,AC,,2,2,1000,11001.32057, ,1000,1,,,,,,,
L170,N_2216,N_2237,1,0.004473867,0.034107701,0.418594508,1000,35,-29.31889224,AC,,2,2,1000,1535.133608, ,1000,1,,,,,,,
L171,N_2216,N_2212,1,0.002508237,0.019122202,0.234681573,1000,35,-52.29523185,AC,,2,2,1000,2738.171936, ,1000,1,,,,,,,
L172,N_2212,N_2209,1,0.00250962,0.019132746,0.234810979,1000,35,-52.26641159,AC,,2,2,1000,2736.662912, ,1000,1,,,,,,,
L173,N_2285,N_2237,1,0.005372984,0.052749506,0.772012959,1000,35,-18.9575236,AC,,2,2,1000,992.6136148,Swap,992.6136148,0,,,,,,,
