Line Name,End 1 Node Name,End 2 Node Name,R,X,b,Maximum Capacity (MW),B,Nature of Line,,,,
L166,N_2253,N_2252,0.00023051,0.002263038,0.033120591,1000,-441.8838392,AC,,2,2,1000
L167,N_2253,N_2252,0.00023051,0.002263038,0.033120591,1000,-441.8838392,AC,,2,2,1000
L168,N_2216,N_2222,0.000366893,0.004759417,0.101507063,1000,-210.1097459,AC,,2,2,1000
L169,N_2216,N_2222,0.000366893,0.004759417,0.101507063,1000,-210.1097459,AC,,2,2,1000
L170,N_2216,N_2237,0.004473867,0.034107701,0.418594508,1000,-29.31889224,AC,,2,2,1000
L171,N_2216,N_2212,0.002508237,0.019122202,0.234681573,1000,-52.29523185,AC,,2,2,1000
L172,N_2212,N_2209,0.00250962,0.019132746,0.234810979,1000,-52.26641159,AC,,2,2,1000
L173,N_2285,N_2237,0.005372984,0.052749506,0.772012959,1000,-18.9575236,AC,,2,2,1000
L174,N_2285,N_2259,0.004864863,0.047761003,0.699003957,1000,-20.93758377,AC,,2,2,1000
L175,N_2259,N_2237,0.000508557,0.004992786,0.073071682,1000,-200.2889957,AC,,2,2,1000
L176,N_2286,N_2276,0.003286769,0.032267998,0.472256797,1000,-30.99045686,AC,,2,2,1000
L177,N_2286,N_2274,0.002864807,0.028125369,0.411627546,1000,-35.5550887,AC,,2,2,1000
L178,N_2274,N_2275,0.000518727,0.005092629,0.074532934,1000,-196.362241,AC,,2,2,1000
L179,N_2276,N_2275,0.000254798,0.002501486,0.036610379,1000,-399.7624294,AC,,2,2,1000
L180,N_2274,N_2276,0.000710928,0.00697957,0.102149169,1000,-143.275311,AC,,2,2,1000
L181,N_2274,N_2276,0.000710928,0.00697957,0.102149169,1000,-143.275311,AC,,2,2,1000
L182,N_2286,N_2289,0.000508378,0.00499102,0.073045838,1000,-200.359859,AC,,2,2,1000
L183,N_2286,N_2290,0.005812789,0.044315323,0.543869871,1000,-22.56555829,AC,,2,2,1000
L184,N_2289,N_2290,0.005104069,0.038912208,0.477558918,1000,-25.69887568,AC,,2,2,1000
L185,N_2290,N_2291,0.004256837,0.032453114,0.398288218,1000,-30.81368396,AC,,2,2,1000
L186,N_2290,N_2291,0.005487527,0.033633227,0.42373441,1000,-29.73250207,AC,,2,2,1000
L187,N_2291,N_2297,0.005578084,0.04252599,0.52190988,1000,-23.51503152,AC,,2,2,1000
L188,N_2297,N_2293,0.006999342,0.053361319,0.65488891,1000,-18.7401666,AC,,2,2,1000
L189,N_2291,N_2261,0.003772558,0.047284998,0.718663689,1000,-21.14835659,AC,,2,2,1000
L190,N_2291,N_2261,0.003772558,0.047284998,0.718663689,1000,-21.14835659,AC,,2,2,1000
L191,N_2295,N_2257,0.004719643,0.035981439,0.44159039,1000,-27.7921068,AC,,2,2,1000
L192,N_2253,N_2257,0.006964692,0.053097154,0.651646896,1000,-18.83340097,AC,,2,2,1000
L193,N_2185,N_2285,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L194,N_2185,N_2285,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L195,N_2116,N_2216,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L196,N_2116,N_2216,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L197,N_2170,N_2270,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L198,N_2170,N_2270,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L199,N_2127,N_2227,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L200,N_2127,N_2227,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L201,N_2153,N_2253,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L202,N_2153,N_2253,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L203,N_2195,N_2295,0.00009,0.0122,0,2500,-81.96721311,AC,,1,2,2500
L204,N_2215,N_2415,0.0036,0.05,0,1000,-20,AC,,2,4,1000
L205,N_2215,N_2415,0.0036,0.05,0,1000,-20,AC,,2,4,1000
L206,N_2185,N_2984,0,0.0113,0,3000,-88.49557522,AC,,1,9,3000
L207,N_2285,N_2985,0,0.1,0,3000,-10,AC,,2,9,3000
L208,N_2286,N_2986,0,0.015,0,3000,-66.66666667,AC,,2,9,3000
L209,N_2253,N_2953,0,0.010714286,0,3000,-93.33333333,AC,,2,9,3000
L210,N_2210,N_2952,0,0.05,0,3000,-20,AC,,2,9,3000
L211,N_2239,N_2971,0,0.05,0,3000,-20,AC,,2,9,3000
L212,N_2270,N_2970,0,0.010714286,0,3000,-93.33333333,AC,,2,9,3000
L213,N_2266,N_2966,0,0.011363636,0,3000,-88,AC,,2,9,3000
L214,N_2262,N_2962,0,0.020718232,0,3000,-48.26666667,AC,,2,9,3000
L215,N_2201,N_2901,0,0.0375,0,3000,-26.66666667,AC,,2,9,3000
L216,N_2202,N_2903,0,0.03,0,3000,-33.33333333,AC,,2,9,3000
L217,N_2212,N_2904,0,0.05,0,3000,-20,AC,,2,9,3000
L218,N_2203,N_2905,0,0.05,0,3000,-20,AC,,2,9,3000
L219,N_2214,N_2914,0,0.15,0,3000,-6.666666667,AC,,2,9,3000
L220,N_2219,N_2919,0,0.022590361,0,3000,-44.26666667,AC,,2,9,3000
L221,N_2225,N_2925,0,0.0625,0,3000,-16,AC,,2,9,3000
L222,N_2211,N_2902,0,0.035714286,0,3000,-28,AC,,2,9,3000
L223,N_3201,N_3202,0.008935357,0.068121035,0.836030883,1000,-14.67975349,AC,,2,2,1000
L224,N_3201,N_3202,0.008935357,0.068121035,0.836030883,1000,-14.67975349,AC,,2,2,1000
L225,N_3201,N_3203,0.00168262,0.012827898,0.157433299,1000,-77.95509164,AC,,2,2,1000
L226,N_3401,N_3404,0.011716435,0.051828952,0.149384547,800,-19.29423527,AC,,4,4,700
L227,N_3401,N_3404,0.011716435,0.051828952,0.149384547,800,-19.29423527,AC,,4,4,700
L228,N_3401,N_3422,0.005250553,0.031276677,0.052090021,800,-31.97270646,AC,,4,4,700
L229,N_3401,N_3422,0.005250553,0.031276677,0.052090021,800,-31.97270646,AC,,4,4,700
L230,N_3401,N_3405,0.02081755,0.124006702,0.20652807,800,-8.06408027,AC,,4,4,700
L231,N_3404,N_3405,0.010101821,0.044686527,0.128798215,800,-22.37810975,AC,,4,4,700
L232,N_3404,N_3405,0.010101821,0.044686527,0.128798215,800,-22.37810975,AC,,4,4,700
L233,N_3411,N_3407,0.017062822,0.101640406,0.169277923,800,-9.838606854,AC,,4,4,700
L234,N_3411,N_3406,0.013504408,0.080443525,0.133975387,800,-12.43108138,AC,,4,4,700
L235,N_3407,N_3408,0.026895518,0.118975311,0.34291785,800,-8.405105168,AC,,4,4,700
L236,N_3408,N_3409,0.007044873,0.03116378,0.089822134,800,-32.08853396,AC,,4,4,700
L237,N_3409,N_3410,0.039873015,0.17638271,0.508380936,800,-5.669489927,AC,,4,4,700
L238,N_3406,N_3412,0.008881398,0.05290502,0.088111138,800,-18.90179813,AC,,4,4,700
L239,N_3406,N_3412,0.009388646,0.041531718,0.119705235,800,-24.07798285,AC,,4,4,700
L240,N_3406,N_3423,0.016411422,0.075209178,0.216772449,800,-13.29624964,AC,,4,4,700
L241,N_3423,N_3412,0.01870312,0.111411391,0.185551097,800,-8.975742898,AC,,4,4,700
L242,N_3412,N_3420,0.00037893,0.004218085,0.014060282,800,-237.0744347,AC,,4,4,700
L243,N_3412,N_3420,0.00037893,0.004218085,0.014060282,800,-237.0744347,AC,,4,4,700
L244,N_3112,N_3114,0.001928,0.025787,2.534115,2500,-38.77922984,AC,,1,1,2500
L245,N_3112,N_3114,0.001928,0.025787,2.534115,2500,-38.77922984,AC,,1,1,2500
L246,N_3112,N_3113,0.000437425,0.006498888,0.686070078,2500,-153.8724849,AC,,1,1,2500
L247,N_3112,N_3113,0.000437425,0.006498888,0.686070078,2500,-153.8724849,AC,,1,1,2500
L248,N_3420,N_3415,0.009061145,0.053975744,0.089894385,800,-18.52684056,AC,,4,4,700
L249,N_3420,N_3415,0.009061145,0.053975744,0.089894385,800,-18.52684056,AC,,4,4,700
L250,N_3420,N_3415,0.009061145,0.053975744,0.089894385,800,-18.52684056,AC,,4,4,700
L251,N_3115,N_3102,0.000198689,0.002951951,0.311629479,2500,-338.759055,AC,,1,1,2500
L252,N_3115,N_3113,8.22982E-05,0.001222716,0.129078864,2500,-817.8512324,AC,,1,1,2500
L253,N_3113,N_3102,0.000298787,0.004439127,0.468626715,2500,-225.269504,AC,,1,1,2500
L254,N_3113,N_3102,0.000298787,0.004439127,0.468626715,2500,-225.269504,AC,,1,1,2500
L255,N_3102,N_3118,0.001073035,0.015942231,1.682978446,2500,-62.72647635,AC,,1,1,2500
L256,N_3102,N_3118,0.001073035,0.015942231,1.682978446,2500,-62.72647635,AC,,1,1,2500
L257,N_3102,N_3116,0.000253256,0.003762663,0.397214177,2500,-265.7692343,AC,,1,1,2500
L258,N_3116,N_3117,0.000137431,0.002041825,0.215549978,2500,-489.7579149,AC,,1,1,2500
L259,N_3116,N_3118,0.000970159,0.014413793,1.521625352,2500,-69.37798951,AC,,1,1,2500
L260,N_3117,N_3118,0.000806548,0.011982996,1.265012673,2500,-83.45158113,AC,,1,1,2500
L261,N_3417,N_3468,0.001246097,0.010546673,0.03655217,800,-94.81662685,AC,,4,4,700
L262,N_3417,N_3468,0.001246097,0.010546673,0.03655217,800,-94.81662685,AC,,4,4,700
