Bus Name,Bus Region,Bus Type,Demand Trace Weightage (%),Power Factor,Prosumer Demand (%),Rooftop PV Capacity (MW),Feedin Price Ratio,Maximum Battery Capacity (MWh),Minimum Battery Capacity (MWh),Maximum Charge Rate (MW/h),Maximum Discharge Rate (MW/h),Battery Efficiency (%),Base_kV,Node Zone,Demand Trace Weightage,Demand Trace Name,Wind Trace Name,PV Trace Name,CST Trace Name,Rooftop PV Trace
N_2260,NSW,0,3.607407217,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2250,NSW,0,2.449295881,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2213,NSW,0,1.518485443,0.9,0,0,0,0,0,0,0,0,330,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2219,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2127,NSW,0,0,0.9,0,0,0,0,0,0,0,0,500,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2227,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2286,NSW,0,0.208892177,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2293,NSW,0,1.173009919,0.9,0,0,0,0,0,0,0,0,330,NNS,#REF!,NSW,NNS,NNS,NNS,NNS
N_2239,NSW,0,2.948593427,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2203,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2255,NSW,0,2.530809072,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2222,NSW,0,0.835568709,0.9,0,0,0,0,0,0,0,0,330,CAN,#REF!,NSW,CAN,CAN,CAN,CAN
N_2201,NSW,0,0.015600611,0.9,0,0,0,0,0,0,0,0,330,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2153,NSW,0,0,0.9,0,0,0,0,0,0,0,0,500,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2253,NSW,0,1.855926653,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2262,NSW,0,0.899843226,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2289,NSW,0,1.831823709,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2274,NSW,0,3.406549354,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2259,NSW,0,2.121059032,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2251,NSW,0,2.238687636,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2242,NSW,0,3.944848426,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2243,NSW,0,6.5318977,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2231,NSW,0,8.371755723,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2237,NSW,0,8.893986167,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2290,NSW,0,1.381902096,0.9,0,0,0,0,0,0,0,0,330,NNS,#REF!,NSW,NNS,NNS,NNS,NNS
N_2276,NSW,0,8.377527949,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2248,NSW,0,1.446176612,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2202,NSW,0,0,0.9,0,0,0,0,0,0,0,0,330,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
N_2266,NSW,0,0.787362822,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2236,NSW,0,3.535098386,0.9,0,0,0,0,0,0,0,0,330,NCEN,#REF!,NSW,NCEN,NCEN,NCEN,NCEN
N_2214,NSW,0,1.703274677,0.9,0,0,0,0,0,0,0,0,330,SWNSW,#REF!,NSW,SWNSW,SWNSW,SWNSW,SWNSW
